날짜,종목코드,종목명,상장주식수,상장수_변화율,시가총액,시가총액_변화율,액면분할_flag,증자_flag,소각_flag,시총급변_flag
2008-06-05,068290,삼성출판사,10000000,9.0,31500000000.0,-0.07352941176470584,1,0,0,0
2020-01-17,068400,SK렌터카,35765140,0.614948772481182,413087367000.0,0.5942443010391156,0,1,0,0
2010-09-27,069260,휴켐스,40878588,0.5999999686877644,868669995000.0,0.6190475873626189,0,1,0,0
2006-04-25,069470,제로원인터랙티브,32554560,0.666621529989994,68364576000.0,0.5908660058995396,0,1,0,0
2010-04-27,069470,제로원인터랙티브,12957451,0.0,323936275.0,1.5,0,0,0,1
2022-07-14,069640,한세엠케이,30106502,1.3321520680946684,114404707600.0,1.5320508167884972,1,0,0,1
2021-04-02,071090,하이스틸,19999440,9.0,53698496400.0,-0.06282722513089001,1,0,0,0
2007-03-14,071950,코아스웰,12063980,1.0,53081512000.0,-0.03296703296703296,0,1,0,0
2011-11-24,071950,코아스,20063980,0.6631310728300279,16291951760.0,0.6672375693061514,0,1,0,0
2013-01-16,071970,STX중공업,43427017,0.947399865470852,256219400300.0,0.754146443706569,0,1,0,0
2013-12-17,071970,STX중공업,114309017,1.6322097370860171,397795379160.0,1.55868432543557,1,0,0,1
2015-04-10,071970,STX중공업,22325027,0.5641684165597207,252272805100.0,0.5641684165597207,0,1,0,0
2017-03-29,071970,STX중공업,24556606,0.03212291929242572,1357980311800.0,19.642458385848514,0,0,0,1
2018-12-26,071970,STX중공업,28081731,0.13064802994711977,172983462960.0,5.136380497334147,0,0,0,1
2005-11-16,072130,유엔젤,12980780,1.0,108129897400.0,0.9856972586412396,0,1,0,0
2010-12-14,073240,금호타이어,90732368,7.858492761863998,1460791124800.0,7.696447162561608,1,0,0,1
2018-07-19,073240,금호타이어,287260287,0.8181818164556214,1752287750700.0,0.8332081124593869,0,1,0,0
2009-04-16,074610,이엔쓰리,41275884,0.6330151036518064,21463459680.0,0.6650350076449791,0,1,0,0
2015-03-18,077500,유니퀘스트,26978966,0.9976305919603172,151082209600.0,0.8801229100802985,0,1,0,0
2023-10-20,077500,유니퀘스트,21794015,-0.16714817193467824,140353456600.0,-0.7085018601771373,0,0,1,0
2013-10-15,077970,STX엔진,49198433,0.7156159817229468,282890989750.0,0.689176694333381,0,1,0,0
2015-04-13,077970,STX엔진,23008904,2.741404441507404,646550202400.0,2.741404441507404,1,0,0,1
2025-04-21,077970,STX엔진,40148063,0.7448924555467744,873220370250.0,0.6792659693868293,0,1,0,0
2020-08-06,079160,CJ CGV,35100000,0.6586872468641243,659880000000.0,0.6765225936045987,0,1,0,0
2023-09-26,079160,CJ CGV,122431195,1.5650290210203366,697857811500.0,1.7226565027590164,1,0,0,1
2008-11-04,079430,리바트,17261650,0.9615511363636364,89760580000.0,0.8545574380165288,0,1,0,0
